Year,Month,Day,Hour,Min,Sec,Msec,P02S ECG,P02S G1,P02S G2,P02S G3
2018,11,27,18,24,32,936,-242.92945861816406,8437.0,4294964454.0,6134.0
2018,11,27,18,24,32,940,-242.98954010009766,,,
2018,11,27,18,24,32,944,-243.03531646728516,,,
2018,11,27,18,24,32,948,-243.00384521484375,,,
2018,11,27,18,24,32,952,-242.89512634277344,,,
2018,11,27,18,24,32,956,-242.9180145263672,8075.0,4294964680.0,6046.0
2018,11,27,18,24,32,960,-243.06106567382812,,,
2018,11,27,18,24,32,963,-242.98095703125,,,
2018,11,27,18,24,32,967,-243.02959442138672,,,
2018,11,27,18,24,32,971,-243.12686920166016,,,
2018,11,27,18,24,32,975,-242.97523498535156,7938.0,4294964621.0,6046.0
2018,11,27,18,24,32,979,-243.11256408691406,,,
2018,11,27,18,24,32,983,-243.11256408691406,,,
2018,11,27,18,24,32,987,-243.0124282836914,,,
2018,11,27,18,24,32,991,-243.08395385742188,,,
2018,11,27,18,24,32,995,-243.12973022460938,7996.0,4294964660.0,5909.0
2018,11,27,18,24,32,999,-243.10970306396484,,,
2018,11,27,18,24,33,3,-243.1640625,,,
2018,11,27,18,24,33,6,-243.07537078857422,,,
2018,11,27,18,24,33,10,-243.00670623779297,,,
2018,11,27,18,24,33,14,-243.09539794921875,8134.0,4294964503.0,5791.0
2018,11,27,18,24,33,18,-243.1926727294922,,,
2018,11,27,18,24,33,22,-243.15261840820312,,,
2018,11,27,18,24,33,26,-243.3757781982422,,,
2018,11,27,18,24,33,30,-243.3929443359375,,,
2018,11,27,18,24,33,34,-243.39580535888672,8241.0,4294964601.0,5693.0
2018,11,27,18,24,33,38,-243.30997467041016,,,
2018,11,27,18,24,33,42,-243.2384490966797,,,
2018,11,27,18,24,33,45,-243.13831329345703,,,
2018,11,27,18,24,33,49,-243.18695068359375,,,
2018,11,27,18,24,33,53,-243.18408966064453,8261.0,4294964621.0,5664.0
2018,11,27,18,24,33,57,-243.24703216552734,,,
2018,11,27,18,24,33,61,-243.3614730834961,,,
2018,11,27,18,24,33,65,-243.3643341064453,,,
2018,11,27,18,24,33,69,-243.52169036865234,,,
2018,11,27,18,24,33,73,-243.4530258178711,8261.0,4294964699.0,5625.0
2018,11,27,18,24,33,77,-243.4215545654297,,,
2018,11,27,18,24,33,81,-243.67618560791016,,,
2018,11,27,18,24,33,85,-243.6046600341797,,,
2018,11,27,18,24,33,88,-243.66188049316406,,,
2018,11,27,18,24,33,92,-243.71623992919922,8036.0,4294964739.0,5644.0
2018,11,27,18,24,33,96,-243.7734603881836,,,
2018,11,27,18,24,33,100,-243.80779266357422,,,
2018,11,27,18,24,33,104,-243.72482299804688,,,
2018,11,27,18,24,33,108,-243.80207061767578,,,
2018,11,27,18,24,33,112,-243.8335418701172,7879.0,4294964837.0,5684.0
2018,11,27,18,24,33,116,-243.96228790283203,,,
2018,11,27,18,24,33,120,-244.1082000732422,,,
2018,11,27,18,24,33,124,-244.0509796142578,,,
2018,11,27,18,24,33,128,-244.12822723388672,,,
2018,11,27,18,24,33,131,-243.988037109375,7761.0,4294964660.0,5586.0
2018,11,27,18,24,33,135,-244.0338134765625,,,
2018,11,27,18,24,33,139,-244.12250518798828,,,
2018,11,27,18,24,33,143,-244.16828155517578,,,
2018,11,27,18,24,33,147,-244.15969848632812,,,
2018,11,27,18,24,33,151,-244.3084716796875,7820.0,4294964562.0,5644.0
2018,11,27,18,24,33,155,-244.17972564697266,,,
2018,11,27,18,24,33,159,-243.89934539794922,,,
2018,11,27,18,24,33,163,-244.0338134765625,,,
2018,11,27,18,24,33,167,-244.2026138305664,,,
2018,11,27,18,24,33,170,-244.11964416503906,7996.0,4294964582.0,5625.0
2018,11,27,18,24,33,174,-244.17972564697266,,,
2018,11,27,18,24,33,178,-244.21405792236328,,,
2018,11,27,18,24,33,182,-244.2626953125,,,
2018,11,27,18,24,33,186,-244.2770004272461,,,
2018,11,27,18,24,33,190,-244.19403076171875,7957.0,4294964660.0,5605.0
2018,11,27,18,24,33,194,-244.09961700439453,,,
2018,11,27,18,24,33,198,-244.2913055419922,,,
2018,11,27,18,24,33,202,-244.29988861083984,,,
2018,11,27,18,24,33,206,-244.28844451904297,,,
2018,11,27,18,24,33,210,-244.27127838134766,8016.0,4294964621.0,5713.0
2018,11,27,18,24,33,213,-244.26555633544922,,,
2018,11,27,18,24,33,217,-244.26841735839844,,,
2018,11,27,18,24,33,221,-244.42291259765625,,,
2018,11,27,18,24,33,225,-244.63462829589844,,,
2018,11,27,18,24,33,229,-244.57168579101562,7840.0,4294964562.0,5968.0
2018,11,27,18,24,33,233,-244.44580078125,,,
2018,11,27,18,24,33,237,-244.54879760742188,,,
2018,11,27,18,24,33,241,-244.37427520751953,,,
2018,11,27,18,24,33,245,-244.23980712890625,,,
2018,11,27,18,24,33,249,-244.14825439453125,7800.0,4294964464.0,6085.0
2018,11,27,18,24,33,253,-244.16255950927734,,,
2018,11,27,18,24,33,256,-244.1425323486328,,,
2018,11,27,18,24,33,260,-243.99375915527344,,,
2018,11,27,18,24,33,264,-243.73626708984375,,,
2018,11,27,18,24,33,268,-243.3185577392578,7820.0,4294964454.0,5929.0
2018,11,27,18,24,33,272,-243.43013763427734,,,
2018,11,27,18,24,33,276,-243.6389923095703,,,
2018,11,27,18,24,33,280,-243.76773834228516,,,
2018,11,27,18,24,33,284,-243.5903549194336,,,
2018,11,27,18,24,33,288,-243.97945404052734,7820.0,4294964396.0,5831.0
2018,11,27,18,24,33,292,-244.171142578125,,,
2018,11,27,18,24,33,295,-244.2798614501953,,,
2018,11,27,18,24,33,299,-244.34566497802734,,,
2018,11,27,18,24,33,303,-244.42005157470703,,,
2018,11,27,18,24,33,307,-244.72332000732422,7781.0,4294964415.0,5811.0
2018,11,27,18,24,33,311,-245.09239196777344,,,
2018,11,27,18,24,33,315,-245.08380889892578,,,
2018,11,27,18,24,33,319,-244.9779510498047,,,
2018,11,27,18,24,33,323,-244.83203887939453,,,
2018,11,27,18,24,33,327,-245.0695037841797,7693.0,4294964454.0,5968.0
2018,11,27,18,24,33,331,-244.9665069580078,,,
2018,11,27,18,24,33,335,-244.9178695678711,,,
2018,11,27,18,24,33,338,-244.8406219482422,,,
2018,11,27,18,24,33,342,-244.90928649902344,,,
2018,11,27,18,24,33,346,-244.71759796142578,7761.0,4294964396.0,5850.0
2018,11,27,18,24,33,350,-244.68612670898438,,,
2018,11,27,18,24,33,354,-244.720458984375,,,
2018,11,27,18,24,33,358,-244.5659637451172,,,
2018,11,27,18,24,33,362,-244.71759796142578,,,
2018,11,27,18,24,33,366,-244.66896057128906,7712.0,4294964200.0,5811.0
2018,11,27,18,24,33,370,-244.68040466308594,,,
2018,11,27,18,24,33,374,-244.0938949584961,,,
2018,11,27,18,24,33,378,-242.50030517578125,,,
2018,11,27,18,24,33,381,-240.16571044921875,,,
2018,11,27,18,24,33,385,-237.02716827392578,7653.0,4294964239.0,5713.0
2018,11,27,18,24,33,389,-232.91873931884766,,,
2018,11,27,18,24,33,393,-227.84900665283203,,,
2018,11,27,18,24,33,397,-223.38008880615234,,,
2018,11,27,18,24,33,401,-223.53172302246094,,,
2018,11,27,18,24,33,405,-229.08782958984375,7742.0,4294964337.0,5693.0
2018,11,27,18,24,33,409,-236.27471923828125,,,
2018,11,27,18,24,33,413,-241.74213409423828,,,
2018,11,27,18,24,33,417,-247.3297119140625,,,
2018,11,27,18,24,33,420,-251.85012817382812,,,
2018,11,27,18,24,33,424,-250.43678283691406,7977.0,4294964200.0,5752.0
2018,11,27,18,24,33,428,-247.8189468383789,,,
2018,11,27,18,24,33,432,-245.38135528564453,,,
2018,11,27,18,24,33,436,-244.35138702392578,,,
2018,11,27,18,24,33,440,-243.79920959472656,,,
2018,11,27,18,24,33,444,-244.17972564697266,8036.0,4294964415.0,5625.0
2018,11,27,18,24,33,448,-244.15111541748047,,,
2018,11,27,18,24,33,452,-244.12250518798828,,,
2018,11,27,18,24,33,456,-244.05670166015625,,,
2018,11,27,18,24,33,460,-244.15969848632812,,,
2018,11,27,18,24,33,463,-243.92223358154297,7742.0,4294964435.0,5350.0
2018,11,27,18,24,33,467,-243.85643005371094,,,
2018,11,27,18,24,33,471,-243.95084381103516,,,
2018,11,27,18,24,33,475,-244.13108825683594,,,
2018,11,27,18,24,33,479,-243.80207061767578,,,
2018,11,27,18,24,33,483,-243.70193481445312,7879.0,4294964298.0,5586.0
2018,11,27,18,24,33,487,-243.5474395751953,,,
2018,11,27,18,24,33,491,-243.4701919555664,,,
2018,11,27,18,24,33,495,-243.438720703125,,,
2018,11,27,18,24,33,499,-243.44158172607422,,,
2018,11,27,18,24,33,503,-243.32141876220703,7977.0,4294964219.0,5791.0
2018,11,27,18,24,33,506,-243.2699203491211,,,
